College_Code,Year,median,count,college_median_prev,college_pop_prev,college_trend_prev3_slope
E078,2024,97159.0,328,59475.0,1013,8609.499999998918
E079,2020,39232.0,344,,0,
E079,2021,46853.0,387,39232.0,344,
E079,2022,48138.5,418,43042.5,731,7621.000000003472
E079,2023,61049.0,457,46853.0,1149,4453.250000000142
E079,2024,66747.0,500,47495.75,1606,7097.9999999988595
E081,2020,142892.5,16,,0,
E081,2021,106800.0,89,142892.5,16,
E081,2022,98309.5,96,124846.25,105,-36092.50000001639
E081,2023,109026.0,130,106800.0,201,-22291.500000000382
E081,2024,166362.0,123,107913.0,331,1112.9999999992813
E082,2020,30785.0,192,,0,
E082,2021,40415.0,287,30785.0,192,
E082,2022,39467.5,316,35600.0,479,9630.00000000439
E082,2023,43364.0,325,39467.5,795,4341.250000000473
E082,2024,62917.0,369,39941.25,1120,1474.49999999969
E083,2020,83478.0,135,,0,
E083,2021,75454.0,177,83478.0,135,
E083,2022,71082.5,194,79466.0,312,-8024.000000003624
E083,2023,68866.0,205,75454.0,506,-6197.749999999791
E083,2024,100656.0,218,73268.25,711,-3293.9999999997035
E085,2020,87846.0,3,,0,
E085,2021,72309.0,118,87846.0,3,
E085,2022,69022.0,113,80077.5,121,-15537.000000007047
E085,2023,78714.5,184,72309.0,234,-9412.000000000216
E085,2024,106281.0,177,75511.75,418,3202.74999999926
E086,2020,113419.0,39,,0,
E086,2021,89743.0,127,113419.0,39,
E086,2022,80778.0,193,101581.0,166,-23676.000000010732
E086,2023,85107.0,207,89743.0,359,-16320.499999999876
E086,2024,111480.0,213,87425.0,566,-2318.000000000149
E087,2020,102849.0,89,,0,
E087,2021,71007.0,157,102849.0,89,
E087,2022,75479.0,154,86928.0,246,-31842.00000001447
E087,2023,70842.0,166,75479.0,400,-13685.000000001719
E087,2024,120957.0,200,73243.0,566,-82.49999999971372
E088,2020,71928.0,37,,0,
E088,2021,89896.0,113,71928.0,37,
E088,2022,75642.5,116,80912.0,150,17968.00000000818
E088,2023,69823.0,124,75642.5,266,1857.2500000023208
E088,2024,98637.5,136,73785.25,390,-10036.49999999915
E090,2020,109937.5,26,,0,
E090,2021,85185.0,57,109937.5,26,
E090,2022,76677.0,55,97561.25,83,-24752.500000011245
E090,2023,74598.0,57,85185.0,138,-16630.249999999953
E090,2024,134460.0,76,80931.0,195,-5293.499999999602
E091,2020,54968.0,103,,0,
E091,2021,53653.0,165,54968.0,103,
E091,2022,62042.0,252,54310.5,268,-1315.0000000005866
E091,2023,59633.0,256,54968.0,520,3536.999999998983
E091,2024,88640.5,304,57300.5,776,2989.9999999999945
E092,2020,79341.0,69,,0,
E092,2021,73490.5,184,79341.0,69,
E092,2022,68789.0,195,76415.75,253,-5850.500000002643
E092,2023,71842.0,249,73490.5,448,-5275.999999999677
E092,2024,103710.0,261,72666.25,697,-824.2500000001417
E093,2020,138560.0,5,,0,
E093,2021,125202.0,55,138560.0,5,
E093,2022,103876.0,78,131881.0,60,-13358.000000006055
E093,2023,124930.0,143,125202.0,138,-17341.99999999805
E093,2024,161255.5,158,125066.0,281,-136.00000000126312
E094,2020,126523.5,18,,0,
E094,2021,106029.0,83,126523.5,18,
E094,2022,97502.5,114,116276.25,101,-20494.500000009302
E094,2023,99843.0,154,106029.0,215,-14510.499999999796
E094,2024,142445.5,172,102936.0,369,-3093.0000000000086
E095,2020,83454.0,183,,0,
E095,2021,67073.5,348,83454.0,183,
E095,2022,70081.0,470,75263.75,531,-16380.500000007443
E095,2023,66377.0,429,70081.0,1001,-6686.500000000965
E095,2024,76989.0,471,68577.25,1430,-348.2499999997576
E096,2020,86464.0,90,,0,
E096,2021,69182.0,190,86464.0,90,
E096,2022,67672.0,171,77823.0,280,-17282.000000007847
E096,2023,61827.0,308,69182.0,451,-9396.000000000486
E096,2024,97325.5,314,68427.0,759,-3677.499999999464
E097,2020,38561.0,205,,0,
E097,2021,33520.5,322,38561.0,205,
E097,2022,30683.0,385,36040.75,527,-5040.500000002285
E097,2023,26667.0,393,33520.5,912,-3938.9999999998595
E097,2024,31856.5,398,32101.75,1305,-3426.749999999587
E098,2020,62801.5,106,,0,
E098,2021,55899.0,185,62801.5,106,
E098,2022,61996.0,243,59350.25,291,-6902.500000003117
E098,2023,59682.0,323,61996.0,534,-402.75000000096713
E098,2024,86509.0,405,60839.0,857,1891.5000000000496
E099,2020,28850.0,327,,0,
E099,2021,26172.0,335,28850.0,327,
E099,2022,27645.0,411,27511.0,662,-2678.000000001221
E099,2023,28739.5,406,27645.0,1073,-602.5000000002705
E099,2024,40198.0,346,28192.25,1479,1283.7499999998709
E100,2020,106882.5,32,,0,
E100,2021,88967.5,138,106882.5,32,
E100,2022,84219.0,177,97925.0,170,-17915.00000000813
E100,2023,79974.0,191,88967.5,347,-11331.750000000135
E100,2024,110548.5,190,86593.25,538,-4496.7499999995125
E101,2020,86795.5,72,,0,
E101,2021,75067.0,195,86795.5,72,
E101,2022,70452.5,214,80931.25,267,-11728.50000000532
E101,2023,76200.0,215,75067.0,481,-8171.499999999914
E101,2024,119992.0,231,75633.5,696,566.4999999996284
E102,2020,87647.0,140,,0,
E102,2021,76023.0,285,87647.0,140,
E102,2022,66453.0,305,81835.0,425,-11624.000000005277
E102,2023,66028.0,354,76023.0,730,-10596.999999999322
E102,2024,80155.0,313,71238.0,1084,-4997.499999999723
E103,2020,55282.5,216,,0,
E103,2021,49140.0,335,55282.5,216,
E103,2022,50282.0,402,52211.25,551,-6142.500000002781
