College_Code,Branch,Category,College_Tier,Round,Year,Exam_Type,Cutoff_Rank
E005,AI Artificial Intelligence,1G,1,1,2022,KCET,1191.0
E005,EE Electrical,GM,1,2,2021,KCET,1192.0
E021,CS Computers,3BG,1,1,2021,KCET,1197.0
E048,CS Computers,GM,1,3,2022,KCET,1197.0
E009,CS Computers,3AG,1,2,2021,KCET,1206.0
E005,CS Computers,GMR,1,3,2022,KCET,1206.0
E048,CS Computers,3AG,1,1,2020,KCET,1213.0
E005,IE Info.Science,2AG,1,3,2021,KCET,1223.0
E006,"CA CS (AI, Machine Learning)",GM,1,1,2022,KCET,1223.0
E005,IE Info.Science,3AG,1,3,2021,KCET,1228.0
E005,EC Electronics,3AG,1,2,2021,KCET,1228.0
E048,CS Computers,GMR,1,2,2021,KCET,1231.0
E005,EC Electronics,3AG,1,2,2020,KCET,1237.0
E005,CS Computers,3AR,1,1,2020,KCET,1240.0
E003,EC Electronics,GM,1,1,2021,KCET,1247.0
E009,CS Computers,GMH,1,2,2021,KCET,1249.0
E048,AI Artificial Intelligence,GM,1,2,2020,KCET,1250.0
E009,CS Computers,3BG,1,2,2021,KCET,1252.0
E006,CS Computers,2AG,1,1,2021,KCET,1254.0
E005,AI Artificial Intelligence,GM,1,3,2022,KCET,1261.0
E048,CS Computers,1G,1,2,2021,KCET,1262.0
E048,CS Computers,1G,1,1,2021,KCET,1262.0
E005,IE Info.Science,GMH,1,2,2022,KCET,1264.0
E005,DS Comp. Sc. Engg- Data Sc.,3AG,1,2,2022,KCET,1269.0
E048,AI Artificial Intelligence,GM,1,2,2021,KCET,1279.0
E005,CS Computers,1R,1,1,2022,KCET,1283.0
E009,CS Computers,3BH,1,1,2021,KCET,1283.0
E005,CS Computers,1R,1,3,2022,KCET,1283.0
E005,CS Computers,1R,1,2,2022,KCET,1283.0
E009,CS Computers,3BH,1,2,2021,KCET,1283.0
E005,EC Electronics,3BG,1,1,2021,KCET,1285.0
E009,CS Computers,3AG,1,2,2020,KCET,1288.0
E021,CS Computers,GM,1,2,2020,KCET,1290.0
E005,CS Computers,SCG,1,1,2021,KCET,1292.0
E048,CS Computers,3BG,1,2,2021,KCET,1293.0
E006,"CA CS (AI, Machine Learning)",GM,1,3,2021,KCET,1293.0
E009,CS Computers,3BG,1,1,2020,KCET,1298.0
E021,CS Computers,GM,1,2,2021,KCET,1298.0
E005,ET Elec. Telecommn. Engg.,GM,1,1,2021,KCET,1299.0
E005,DS Comp. Sc. Engg- Data Sc.,GMK,1,1,2022,KCET,1300.0
E005,IE Info.Science,GMK,1,2,2022,KCET,1300.0
E009,AI Artificial Intelligence,GM,1,1,2022,KCET,1301.0
E005,EC Electronics,GM,1,3,2021,KCET,1303.0
E005,CY CS- Cyber Security,GMR,1,1,2022,KCET,1308.0
E005,AI Artificial Intelligence,GMR,1,2,2022,KCET,1308.0
E048,CS Computers,3BR,1,1,2021,KCET,1309.0
E048,CS Computers,GMK,1,2,2021,KCET,1309.0
E048,CS Computers,GMK,1,3,2021,KCET,1309.0
E005,AI Artificial Intelligence,2AG,1,1,2022,KCET,1310.0
E006,"CA CS (AI, Machine Learning)",3AG,1,2,2021,KCET,1311.0
E048,IE Info.Science,3AG,1,1,2021,KCET,1311.0
E005,CS Computers,3BH,1,3,2022,KCET,1314.0
E005,CS Computers,3BRH,1,2,2022,KCET,1314.0
E005,CS Computers,3BRH,1,1,2022,KCET,1314.0
E006,IE Info.Science,GMH,1,1,2021,KCET,1315.0
E048,CS Computers,GMH,1,2,2021,KCET,1315.0
E006,CS Computers,3BG,1,1,2022,KCET,1318.0
E006,CS Computers,3BG,1,2,2022,KCET,1318.0
E009,CS Computers,GMH,1,1,2020,KCET,1320.0
E006,IE Info.Science,3AG,1,1,2021,KCET,1323.0
E003,EC Electronics,GM,1,2,2020,KCET,1324.0
E006,CS Computers,GMH,1,2,2020,KCET,1327.0
E006,CS Computers,3BG,1,1,2020,KCET,1327.0
E006,CS Computers,3AG,1,1,2022,KCET,1328.0
E006,CS Computers,2AG,1,2,2021,KCET,1330.0
E006,IE Info.Science,GMH,1,2,2020,KCET,1339.0
E006,IE Info.Science,GMH,1,1,2020,KCET,1339.0
E009,CS Computers,3AG,1,1,2022,KCET,1343.0
E048,CS Computers,3BR,1,2,2021,KCET,1362.0
E006,AI Artificial Intelligence,GM,1,2,2021,KCET,1363.0
