college_code,college_name,branch_code,branch_name,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR
E042,Khaja Banda Nawaz University  Kalburgi,EC,Electronics,,,,,,,,,,,,
E042,Khaja Banda Nawaz University  Kalburgi,ME,Mechanical,,,,232683.0,,,183618.0,,,,,
E043,Gurunanak Dev Engineering College  Bidar,AI,Artificial Intelligence,,,,63880.0,,,,,154421.0,9937.0,,
E043,Gurunanak Dev Engineering College  Bidar,CS,Computer Science,98161.0,,,,,,,,,10425.0,,
E043,Gurunanak Dev Engineering College  Bidar,CE,Civil Engineering,,,,164429.0,,,,,,,,
E043,Gurunanak Dev Engineering College  Bidar,CS,Computer Science,73793.0,,,76089.0,,90988.0,67390.0,,,,,
E043,Gurunanak Dev Engineering College  Bidar,EC,Electronics,111677.0,,,96699.0,,,113125.0,,,,,
E043,Gurunanak Dev Engineering College  Bidar,EE,Electrical,,,,132796.0,,,,,,,,
E043,Gurunanak Dev Engineering College  Bidar,IE,Information Science,,,,99760.0,,,,,,,,
E043,Gurunanak Dev Engineering College  Bidar,ME,Mechanical,,,,268508.0,,,,,,,,
E044,Bheemanna Khandre Institute of Technology  Bhalki,CS,Computer Science,,,,107670.0,,,104720.0,,,,,
E044,Bheemanna Khandre Institute of Technology  Bhalki,CE,Civil Engineering,,,,197089.0,,,,,,,,
E044,Bheemanna Khandre Institute of Technology  Bhalki,CH,Chemical,,,,,,,,,,13272.0,,
E044,Bheemanna Khandre Institute of Technology  Bhalki,CS,Computer Science,,,,80544.0,83936.0,,,,,7909.0,,
E044,Bheemanna Khandre Institute of Technology  Bhalki,EC,Electronics,,,,120701.0,,,119567.0,,,,,
E045,Rao Bahadur Y.Mahabaleswarappa Engineering College  Bellari,CS,Computer Science,,,,89874.0,,,,,,9618.0,,
E045,Rao Bahadur Y.Mahabaleswarappa Engineering College  Bellari,CE,Civil Engineering,,,,205582.0,,,,,,,,
E045,Rao Bahadur Y.Mahabaleswarappa Engineering College  Bellari,CS,Computer Science,69387.0,,,70918.0,79332.0,92044.0,74531.0,,,7520.0,,
E045,Rao Bahadur Y.Mahabaleswarappa Engineering College  Bellari,EC,Electronics,113926.0,,,110212.0,,113663.0,,,,9788.0,,
E045,Rao Bahadur Y.Mahabaleswarappa Engineering College  Bellari,EE,Electrical,164014.0,,,,163424.0,,,15000.0,,,,
E045,Rao Bahadur Y.Mahabaleswarappa Engineering College  Bellari,IE,Information Science,,,,118515.0,,,105385.0,,,,,
E045,Rao Bahadur Y.Mahabaleswarappa Engineering College  Bellari,ME,Mechanical,223116.0,,,252129.0,,,,,,,,
E046,H K Es S L N College of Engineering  Raichur,CE,Civil Engineering,194961.0,,,187496.0,,258691.0,,,,,,
E046,H K Es S L N College of Engineering  Raichur,CS,Computer Science,,,,79229.0,,,87310.0,,,,,
E046,H K Es S L N College of Engineering  Raichur,EC,Electronics,,,,102883.0,,,,130501.0,,12502.0,,
E046,H K Es S L N College of Engineering  Raichur,ME,Mechanical,,,,274593.0,,,,,,,,
E047,Malnad College of Engineering  Hassan,CS,Computer Science,37112.0,,,32392.0,,,32574.0,,,3070.0,,
E047,Malnad College of Engineering  Hassan,CE,Civil Engineering,123993.0,,,141321.0,,,,11334.0,,,,
E047,Malnad College of Engineering  Hassan,CS,Computer Science,30092.0,,33473.0,32003.0,38179.0,34633.0,38625.0,,51195.0,2614.0,,
E047,Malnad College of Engineering  Hassan,EC,Electronics,56974.0,,,38246.0,,,55700.0,74266.0,73906.0,,,
E047,Malnad College of Engineering  Hassan,EE,Electrical,64966.0,,100544.0,79170.0,,,98444.0,,,5960.0,,
E047,Malnad College of Engineering  Hassan,IE,Information Science,47204.0,,,39221.0,44255.0,43034.0,43736.0,,,3565.0,,
E048,"B M S College of Engineering  Basavanagudi,Bangalore",AI,Artificial Intelligence,6639.0,,10515.0,6438.0,10065.0,7717.0,9569.0,,13555.0,3741.0,,
E048,"B M S College of Engineering  Basavanagudi,Bangalore",BT,Biotechnology,37100.0,,,25496.0,,48328.0,35302.0,,,1550.0,,
E048,"B M S College of Engineering  Basavanagudi,Bangalore",CE,Civil Engineering,43535.0,,,60488.0,88227.0,78459.0,,,,3872.0,,
E048,"B M S College of Engineering  Basavanagudi,Bangalore",CH,Chemical,46599.0,,,28793.0,,47811.0,66490.0,,,2456.0,,
E048,"B M S College of Engineering  Basavanagudi,Bangalore",CS,Computer Science,5145.0,7521.0,7869.0,4983.0,8006.0,7073.0,7000.0,8765.0,10205.0,3193.0,,
E048,"B M S College of Engineering  Basavanagudi,Bangalore",EC,Electronics,9249.0,15065.0,11714.0,8096.0,14776.0,9934.0,13803.0,,17463.0,5244.0,,
