College_Code,College_Name,Branch_Code,Branch,Quota,Cutoff_Rank,Year,Round,Exam_Type
UNKNOWN,UNKNOWN,CQ,B Tech in IO,1R 2AG,102108,2024,0,KCET
UNKNOWN,UNKNOWN,CQ,B Tech in IO,1R 2AG,80079,2024,0,KCET
UNKNOWN,UNKNOWN,CQ,B Tech in IO,1R 2AG,65343,2024,0,KCET
UNKNOWN,UNKNOWN,CQ,B Tech in IO,3AK,60464,2024,0,KCET
UNKNOWN,UNKNOWN,CQ,B Tech in IO,3BR GM,62057,2024,0,KCET
UNKNOWN,UNKNOWN,CQ,B Tech in IO,SCG,70939,2024,0,KCET
UNKNOWN,UNKNOWN,CQ,B Tech in IO,SCG,58946,2024,0,KCET
UNKNOWN,UNKNOWN,CQ,B Tech in IO,SCG,94462,2024,0,KCET
UNKNOWN,UNKNOWN,CQ,B Tech in IO,SCG,69907,2024,0,KCET
UNKNOWN,UNKNOWN,CQ,B Tech in IO,SCG,160484,2024,0,KCET
UNKNOWN,UNKNOWN,CQ,B Tech in IO,SCG,250485,2024,0,KCET
UNKNOWN,UNKNOWN,CQ,B Tech in IO,SCG,211286,2024,0,KCET
UNKNOWN,UNKNOWN,CQ,B Tech in IO,SCG,184352,2024,0,KCET
UNKNOWN,UNKNOWN,CU,B Tech in IS,1G 1K,65991,2024,0,KCET
UNKNOWN,UNKNOWN,CU,B Tech in IS,1R 2AG,60394,2024,0,KCET
UNKNOWN,UNKNOWN,CU,B Tech in IS,1R 2AG,79583,2024,0,KCET
UNKNOWN,UNKNOWN,CU,B Tech in IS,1R 2AG,67928,2024,0,KCET
UNKNOWN,UNKNOWN,CU,B Tech in IS,1R 2AG,65302,2024,0,KCET
UNKNOWN,UNKNOWN,CU,B Tech in IS,3AK,76031,2024,0,KCET
UNKNOWN,UNKNOWN,CU,B Tech in IS,3AK,51044,2024,0,KCET
UNKNOWN,UNKNOWN,CU,B Tech in IS,3BR GM,51014,2024,0,KCET
UNKNOWN,UNKNOWN,CU,B Tech in IS,SCG,58461,2024,0,KCET
UNKNOWN,UNKNOWN,CU,B Tech in IS,SCG,49277,2024,0,KCET
UNKNOWN,UNKNOWN,CU,B Tech in IS,SCG,72646,2024,0,KCET
UNKNOWN,UNKNOWN,CU,B Tech in IS,SCG,56686,2024,0,KCET
UNKNOWN,UNKNOWN,CU,B Tech in IS,SCG,152789,2024,0,KCET
UNKNOWN,UNKNOWN,CU,B Tech in IS,SCG,217841,2024,0,KCET
UNKNOWN,UNKNOWN,CU,B Tech in IS,SCG,198827,2024,0,KCET
UNKNOWN,UNKNOWN,CU,B Tech in IS,SCG,149753,2024,0,KCET
UNKNOWN,UNKNOWN,CX,B Tech in IY,1G 1K,65742,2024,0,KCET
UNKNOWN,UNKNOWN,CX,B Tech in IY,1R 2AG,69544,2024,0,KCET
UNKNOWN,UNKNOWN,CX,B Tech in IY,1R 2AG,89188,2024,0,KCET
UNKNOWN,UNKNOWN,CX,B Tech in IY,1R 2AG,81403,2024,0,KCET
UNKNOWN,UNKNOWN,CX,B Tech in IY,1R 2AG,68580,2024,0,KCET
UNKNOWN,UNKNOWN,CX,B Tech in IY,3AK,79579,2024,0,KCET
UNKNOWN,UNKNOWN,CX,B Tech in IY,3AK,56361,2024,0,KCET
UNKNOWN,UNKNOWN,CX,B Tech in IY,3BR GM,57339,2024,0,KCET
UNKNOWN,UNKNOWN,CX,B Tech in IY,SCG,55397,2024,0,KCET
UNKNOWN,UNKNOWN,CX,B Tech in IY,SCG,74129,2024,0,KCET
UNKNOWN,UNKNOWN,CX,B Tech in IY,SCG,70079,2024,0,KCET
UNKNOWN,UNKNOWN,CX,B Tech in IY,SCG,160261,2024,0,KCET
UNKNOWN,UNKNOWN,CX,B Tech in IY,SCG,205389,2024,0,KCET
UNKNOWN,UNKNOWN,CX,B Tech in IY,SCG,231123,2024,0,KCET
UNKNOWN,UNKNOWN,CX,B Tech in IY,SCG,171610,2024,0,KCET
UNKNOWN,UNKNOWN,CZ,B Tech in LC,1G 1K,81842,2024,0,KCET
UNKNOWN,UNKNOWN,CZ,B Tech in LC,1R 2AG,104115,2024,0,KCET
UNKNOWN,UNKNOWN,CZ,B Tech in LC,1R 2AG,72601,2024,0,KCET
UNKNOWN,UNKNOWN,CZ,B Tech in LC,2BG,59856,2024,0,KCET
UNKNOWN,UNKNOWN,CZ,B Tech in LC,3AK,58447,2024,0,KCET
UNKNOWN,UNKNOWN,CZ,B Tech in LC,3AK,149468,2024,0,KCET
UNKNOWN,UNKNOWN,CZ,B Tech in LC,3BR GM,57047,2024,0,KCET
UNKNOWN,UNKNOWN,CZ,B Tech in LC,SCG,56560,2024,0,KCET
UNKNOWN,UNKNOWN,CZ,B Tech in LC,SCR,62198,2024,0,KCET
UNKNOWN,UNKNOWN,CZ,B Tech in LC,SCR,156271,2024,0,KCET
UNKNOWN,UNKNOWN,CZ,B Tech in LC,STR,240123,2024,0,KCET
UNKNOWN,UNKNOWN,CZ,B Tech in LC,STR,190613,2024,0,KCET
UNKNOWN,UNKNOWN,DB,B Tech in ME,1G 1K,132718,2024,0,KCET
UNKNOWN,UNKNOWN,DB,B Tech in ME,1R 2AG,144352,2024,0,KCET
UNKNOWN,UNKNOWN,DB,B Tech in ME,1R 2AG,118892,2024,0,KCET
UNKNOWN,UNKNOWN,DB,B Tech in ME,2BG,136738,2024,0,KCET
UNKNOWN,UNKNOWN,DB,B Tech in ME,3AK,101941,2024,0,KCET
UNKNOWN,UNKNOWN,DB,B Tech in ME,3BR GM,106332,2024,0,KCET
UNKNOWN,UNKNOWN,DB,B Tech in ME,SCG,99082,2024,0,KCET
UNKNOWN,UNKNOWN,DB,B Tech in ME,SCR,127359,2024,0,KCET
UNKNOWN,UNKNOWN,DB,B Tech in ME,SCR,186971,2024,0,KCET
UNKNOWN,UNKNOWN,DB,B Tech in ME,STR,201355,2024,0,KCET
UNKNOWN,UNKNOWN,DB,B Tech in ME,STR,191446,2024,0,KCET
UNKNOWN,UNKNOWN,DE,B Tech in PE,1R 2AG,123565,2024,0,KCET
UNKNOWN,UNKNOWN,DE,B Tech in PE,3AK,238298,2024,0,KCET
UNKNOWN,UNKNOWN,DE,B Tech in PE,3BK,116006,2024,0,KCET
UNKNOWN,UNKNOWN,DE,B Tech in PE,3BK,98535,2024,0,KCET
UNKNOWN,UNKNOWN,DE,B Tech in PE,3BK,244479,2024,0,KCET
UNKNOWN,UNKNOWN,DE,B Tech in PE,SCG,84203,2024,0,KCET
UNKNOWN,UNKNOWN,DE,B Tech in PE,SCR,106455,2024,0,KCET
UNKNOWN,UNKNOWN,DE,B Tech in PE,SCR,200791,2024,0,KCET
UNKNOWN,UNKNOWN,DM,B.TECH IN CS NW 82107 101093,1R 2AG,69810,2024,0,KCET
UNKNOWN,UNKNOWN,DM,B.TECH IN CS NW 82107 101093,2AR,90681,2024,0,KCET
UNKNOWN,UNKNOWN,DM,B.TECH IN CS NW 82107 101093,2AR,70479,2024,0,KCET
UNKNOWN,UNKNOWN,DM,B.TECH IN CS NW 82107 101093,3AK,113360,2024,0,KCET
UNKNOWN,UNKNOWN,DM,B.TECH IN CS NW 82107 101093,3AK,57977,2024,0,KCET
UNKNOWN,UNKNOWN,DM,B.TECH IN CS NW 82107 101093,3BR GM,59850,2024,0,KCET
UNKNOWN,UNKNOWN,DM,B.TECH IN CS NW 82107 101093,SCG,55422,2024,0,KCET
UNKNOWN,UNKNOWN,DM,B.TECH IN CS NW 82107 101093,SCR,56555,2024,0,KCET
UNKNOWN,UNKNOWN,DM,B.TECH IN CS NW 82107 101093,SCR,167011,2024,0,KCET
UNKNOWN,UNKNOWN,DN,B.Tech in VLSI,1G 1K,121646,2024,0,KCET
UNKNOWN,UNKNOWN,DN,B.Tech in VLSI,1R 2AG,89145,2024,0,KCET
UNKNOWN,UNKNOWN,DN,B.Tech in VLSI,2BG,105540,2024,0,KCET
UNKNOWN,UNKNOWN,DN,B.Tech in VLSI,3BK,102930,2024,0,KCET
UNKNOWN,UNKNOWN,DN,B.Tech in VLSI,3BK,72001,2024,0,KCET
UNKNOWN,UNKNOWN,DN,B.Tech in VLSI,SCG,70132,2024,0,KCET
UNKNOWN,UNKNOWN,DN,B.Tech in VLSI,SCG,110568,2024,0,KCET
UNKNOWN,UNKNOWN,DN,B.Tech in VLSI,SCG,70875,2024,0,KCET
UNKNOWN,UNKNOWN,DN,B.Tech in VLSI,SCG,183585,2024,0,KCET
UNKNOWN,UNKNOWN,AI,Artificial,1G,111696,2024,0,KCET
UNKNOWN,UNKNOWN,AI,Artificial,1R 2AG,108756,2024,0,KCET
UNKNOWN,UNKNOWN,AI,Artificial,2AR 2BG,117539,2024,0,KCET
UNKNOWN,UNKNOWN,AI,Artificial,2AR 2BG,91312,2024,0,KCET
UNKNOWN,UNKNOWN,AI,Artificial,3AR 3BG,91654,2024,0,KCET
UNKNOWN,UNKNOWN,AI,Artificial,3BR GM GMK,98545,2024,0,KCET
UNKNOWN,UNKNOWN,AI,Artificial,SCK,85305,2024,0,KCET
UNKNOWN,UNKNOWN,AI,Artificial,SCK,104250,2024,0,KCET
UNKNOWN,UNKNOWN,AI,Artificial,SCK,106601,2024,0,KCET
UNKNOWN,UNKNOWN,AI,Artificial,SCK,178745,2024,0,KCET
UNKNOWN,UNKNOWN,CE,Civil,1R 2AG,219016,2024,0,KCET
UNKNOWN,UNKNOWN,CE,Civil,2AR 2BG,200895,2024,0,KCET
UNKNOWN,UNKNOWN,CE,Civil,3BR GM GMK,248837,2024,0,KCET
UNKNOWN,UNKNOWN,CE,Civil,GMR,248772,2024,0,KCET
UNKNOWN,UNKNOWN,CE,Civil,SCK,168502,2024,0,KCET
UNKNOWN,UNKNOWN,CE,Civil,STK,217945,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,1G,102148,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,1R 2AG,102767,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,1R 2AG,114793,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,1R 2AG,120573,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,1R 2AG,103298,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,3AR 3BG,80981,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,3BR GM GMK,90521,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,SCK,98869,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,SCK,79427,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,SCK,94036,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,SCK,90081,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,SCK,163690,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,SCK,188972,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,SCK,184148,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,SCK,157871,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,1G,135712,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,1R 2AG,135952,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,1R 2AG,119904,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,2AR 2BG,124241,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,2AR 2BG,104601,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,3AR 3BG,104754,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,3BR GM GMK,108310,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,SCK,103574,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,SCK,116499,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,SCK,113835,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,SCK,187845,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,SCK,195154,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,SCK,206731,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,SCK,170109,2024,0,KCET
UNKNOWN,UNKNOWN,IE,Info.Science,1G,121618,2024,0,KCET
UNKNOWN,UNKNOWN,IE,Info.Science,1R 2AG,112132,2024,0,KCET
UNKNOWN,UNKNOWN,IE,Info.Science,2AR 2BG,123045,2024,0,KCET
UNKNOWN,UNKNOWN,IE,Info.Science,2AR 2BG,109819,2024,0,KCET
UNKNOWN,UNKNOWN,IE,Info.Science,3AR 3BG,104307,2024,0,KCET
UNKNOWN,UNKNOWN,IE,Info.Science,3BR GM GMK,102156,2024,0,KCET
UNKNOWN,UNKNOWN,IE,Info.Science,SCK,100570,2024,0,KCET
UNKNOWN,UNKNOWN,IE,Info.Science,SCR STG,104268,2024,0,KCET
UNKNOWN,UNKNOWN,IE,Info.Science,SCR STG,170806,2024,0,KCET
UNKNOWN,UNKNOWN,ME,Mechanical,1G,199683,2024,0,KCET
UNKNOWN,UNKNOWN,ME,Mechanical,1R 2AG,197343,2024,0,KCET
UNKNOWN,UNKNOWN,ME,Mechanical,SCK,177658,2024,0,KCET
UNKNOWN,UNKNOWN,ME,Mechanical,SCR STG,194064,2024,0,KCET
UNKNOWN,UNKNOWN,ME,Mechanical,SCR STG,228244,2024,0,KCET
UNKNOWN,UNKNOWN,AE,Aeronaut.Engg,1G,100913,2024,0,KCET
UNKNOWN,UNKNOWN,AE,Aeronaut.Engg,1R 2AG,82454,2024,0,KCET
UNKNOWN,UNKNOWN,AE,Aeronaut.Engg,2AR 2BG,102959,2024,0,KCET
UNKNOWN,UNKNOWN,AE,Aeronaut.Engg,2AR 2BG,89943,2024,0,KCET
UNKNOWN,UNKNOWN,AE,Aeronaut.Engg,3AR 3BG,71048,2024,0,KCET
UNKNOWN,UNKNOWN,AE,Aeronaut.Engg,3BR GM GMK,79221,2024,0,KCET
UNKNOWN,UNKNOWN,AE,Aeronaut.Engg,SCK,67799,2024,0,KCET
UNKNOWN,UNKNOWN,AE,Aeronaut.Engg,SCK,103175,2024,0,KCET
UNKNOWN,UNKNOWN,AE,Aeronaut.Engg,SCK,75704,2024,0,KCET
UNKNOWN,UNKNOWN,AE,Aeronaut.Engg,SCK,114152,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,1G,57826,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,1R 2AG,59339,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,1R 2AG,66746,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,1R 2AG,67907,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,1R 2AG,55057,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,3AR 3BG,50474,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,3BR GM GMK,52767,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,SCK,61733,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,SCK,49361,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,SCK,56468,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,SCK,54947,2024,0,KCET
UNKNOWN,UNKNOWN,CS,Computers,SCK,105472,2024,0,KCET
UNKNOWN,UNKNOWN,EA,Agriculture,1G,103533,2024,0,KCET
UNKNOWN,UNKNOWN,EA,Agriculture,1R 2AG,138492,2024,0,KCET
UNKNOWN,UNKNOWN,EA,Agriculture,1R 2AG,125134,2024,0,KCET
UNKNOWN,UNKNOWN,EA,Agriculture,2AR 2BG,132920,2024,0,KCET
UNKNOWN,UNKNOWN,EA,Agriculture,3AR 3BG,104464,2024,0,KCET
UNKNOWN,UNKNOWN,EA,Agriculture,3BR GM GMK,116827,2024,0,KCET
UNKNOWN,UNKNOWN,EA,Agriculture,3BR GM GMK,101837,2024,0,KCET
UNKNOWN,UNKNOWN,EA,Agriculture,SCK,100647,2024,0,KCET
UNKNOWN,UNKNOWN,EA,Agriculture,SCK,109038,2024,0,KCET
UNKNOWN,UNKNOWN,EA,Agriculture,SCK,108971,2024,0,KCET
UNKNOWN,UNKNOWN,EA,Agriculture,SCK,150721,2024,0,KCET
UNKNOWN,UNKNOWN,EA,Agriculture,SCK,196567,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,1G,86151,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,1R 2AG,72545,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,2AR 2BG,94835,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,2AR 2BG,77271,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,2AR 2BG,139115,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,3AR 3BG,63276,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,3BR GM GMK,64481,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,SCK,63055,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,SCR STG,74563,2024,0,KCET
UNKNOWN,UNKNOWN,EC,Electronics,SCR STG,148666,2024,0,KCET
UNKNOWN,UNKNOWN,ME,Mechanical,1R 2AG,141762,2024,0,KCET
