College_Branch_target_enc,hist_mean,hist_count
21683.009947910123,21675.696428571428,56
21709.80783202062,19729.972972972973,37
21757.32471416645,19383.382352941175,34
21763.106482229025,23227.083333333332,12
21766.928833545902,26038.7,10
21787.742480309244,14271.25,4
21805.96222027745,24552.1875,16
21819.992480309244,8625.5,2
21833.71285339224,23849.14285714286,7
21841.493251114145,13849.846153846154,26
21854.82330707899,17424.0,2
21919.999472302407,22315.63888888889,36
21947.9939842474,14044.0,1
21952.7939842474,10412.5,2
21965.27712035342,8335.0,3
21980.41997749628,22967.0,2
21999.999710781125,20140.13953488372,43
22006.367480309244,20372.75,4
22014.95293228316,37695.73333333333,45
22027.056390940583,25925.037735849055,53
22051.41999899665,22231.5641025641,39
22084.25775103904,10372.05,20
22087.264999196294,16387.90625,96
22103.98496061849,6243.0,2
22104.085440224902,7489.0,1
22121.63142535661,29075.2,55
22124.584370723904,20918.6213592233,103
22140.572095503823,21415.846153846152,26
22140.7939842474,18067.0,2
22155.64366409673,26970.690476190477,42
22164.322360964365,26387.72,25
22166.189043868428,21854.285714285714,7
22217.657314379023,21673.893617021276,47
22219.21553805266,16328.0,1
22248.44993273162,21540.09375,32
22253.99331583044,13357.0,1
22262.98496061849,12537.0,1
22264.619652456448,30205.2,15
22271.5879684948,10308.6,5
22284.21553805266,32216.0,1
22293.86144633207,21294.58064516129,31
22324.53891466145,26269.333333333332,12
22343.10442694155,18818.0,3
22371.489386683497,21116.38888888889,36
22386.79458887274,20394.785714285714,28
22405.055424070684,21413.071428571428,14
22415.6663760506,18226.886363636364,44
22420.07538057625,26685.7,10
22463.705691782,8731.0,1
22464.2274435693,23936.044776119405,67
22490.803040053783,23112.571428571428,7
22528.646553298106,24050.090909090908,33
