College_Code,Year,Cutoff_Rank
E022,2021,58805.0
E022,2022,71773.0
E022,2023,84408.5
E022,2024,74116.5
E023,2020,61795.0
E023,2021,82315.0
E023,2022,85605.0
E023,2023,104709.0
E023,2024,125779.0
E024,2020,48035.0
E024,2021,71005.0
E024,2022,67395.0
E024,2023,74890.5
E024,2024,121768.0
E028,2020,101487.0
E028,2021,84572.5
E028,2022,92902.0
E028,2023,94589.5
E028,2024,130804.0
E029,2020,83998.0
E029,2021,83172.0
E029,2022,86986.5
E029,2023,108380.0
E029,2024,150380.0
E031,2020,43366.5
E031,2021,52377.0
E031,2022,55090.0
E031,2023,50275.0
E031,2024,96059.5
E032,2020,119819.0
E032,2021,98644.5
E032,2022,88663.0
E032,2023,93653.0
E032,2024,137717.0
E033,2020,129908.0
E033,2021,97163.5
E033,2022,93954.0
E033,2023,104744.0
E033,2024,147904.0
E034,2020,31207.0
E034,2021,40037.0
E034,2022,27242.0
E034,2023,38699.0
E034,2024,91245.0
E035,2020,114596.0
E035,2021,121932.0
E035,2022,112734.0
E035,2023,120366.5
E035,2024,155196.5
E036,2020,61519.5
E036,2021,67250.0
E036,2022,52096.0
E036,2023,58920.5
E036,2024,85009.0
E037,2020,33540.0
E037,2021,36010.5
E037,2022,39574.0
E037,2023,55527.5
E037,2024,54524.0
E038,2020,68301.0
E038,2021,65953.0
E038,2022,57506.0
E038,2023,64216.5
E038,2024,82753.0
E040,2020,114690.0
E040,2021,90994.5
E040,2022,83922.5
E040,2023,94257.0
E040,2024,145770.0
E041,2020,53363.0
E041,2021,75132.0
E041,2022,82870.5
E041,2023,101559.5
E041,2024,143906.0
E042,2020,108531.0
E042,2021,115489.0
E042,2022,105376.0
E042,2023,108646.0
E042,2024,158802.0
E043,2020,72020.0
E043,2021,82660.0
E043,2022,90203.0
E043,2023,101915.0
E043,2024,122422.0
E044,2020,110181.0
E044,2021,130052.0
E044,2022,94354.0
E044,2023,106942.0
E044,2024,136520.5
E045,2020,96178.0
